time,sym,bid,ask
2016-04-10T21:38:55.080000,EURGBP,0.808000028,0.808309972
2016-04-10T21:39:03.495000,EURGBP,0.808000028,0.808309972
2016-04-10T21:39:55.609000,EURGBP,0.808009982,0.808220029
2016-04-10T21:39:56.786000,EURGBP,0.808009982,0.808300018
2016-04-10T21:39:57.506000,EURGBP,0.808009982,0.808260024
2016-04-10T21:40:00.018000,EURGBP,0.808009982,0.808229983
2016-04-10T21:40:00.745000,EURGBP,0.808009982,0.808229983
2016-04-10T21:40:47.007000,EURGBP,0.808269978,0.808279991
2016-04-10T21:40:58.245000,EURGBP,0.808049977,0.808309972
2016-04-10T21:41:04.019000,EURGBP,0.80805999,0.808309972
2016-04-10T21:41:04.019000,EURGBP,0.80805999,0.808309972
2016-04-10T21:41:44.010000,EURGBP,0.808019996,0.808290005
2016-04-10T21:42:00.132000,EURGBP,0.808019996,0.808290005
2016-04-10T21:42:00.132000,EURGBP,0.808019996,0.808290005
2016-04-10T21:42:45.436000,EURGBP,0.808019996,0.808279991
2016-04-10T21:43:18.401000,EURGBP,0.808019996,0.808279991
2016-04-10T21:43:28.351000,EURGBP,0.808030009,0.808279991
2016-04-10T21:43:57.732000,EURGBP,0.808030009,0.808269978
2016-04-10T21:44:10.334000,EURGBP,0.808030009,0.808269978
2016-04-10T21:44:32.046000,EURGBP,0.808030009,0.808269978
2016-04-10T21:44:57.750000,EURGBP,0.808049977,0.808269978
2016-04-10T21:45:00.022000,EURGBP,0.808040023,0.808269978
2016-04-10T21:45:05.377000,EURGBP,0.808040023,0.808269978
2016-04-10T21:45:59.499000,EURGBP,0.808009982,0.808189988
2016-04-10T21:46:00.372000,EURGBP,0.808009982,0.808189988
2016-04-10T21:46:03.182000,EURGBP,0.808030009,0.808189988
2016-04-10T21:46:44.613000,EURGBP,0.807510018,0.807910025
2016-04-10T21:46:56.902000,EURGBP,0.807550013,0.807959974
2016-04-10T21:47:06.009000,EURGBP,0.807550013,0.807959974
2016-04-10T21:47:14.800000,EURGBP,0.807550013,0.807959974
2016-04-10T21:47:41.014000,EURGBP,0.807579994,0.808000028
2016-04-10T21:47:54.731000,EURGBP,0.807569981,0.808009982
2016-04-10T21:48:00.435000,EURGBP,0.807569981,0.808009982
2016-04-10T21:48:42.403000,EURGBP,0.807630002,0.808030009
2016-04-10T21:48:58.547000,EURGBP,0.807619989,0.807959974
2016-04-10T21:49:02.014000,EURGBP,0.807619989,0.807959974
2016-04-10T21:49:54.007000,EURGBP,0.807609975,0.807959974
2016-04-10T21:49:59.957000,EURGBP,0.807619989,0.807969987
2016-04-10T21:50:00.014000,EURGBP,0.807619989,0.807969987
2016-04-10T21:50:04.014000,EURGBP,0.807619989,0.807969987
2016-04-10T21:50:41.232000,EURGBP,0.807569981,0.807910025
2016-04-10T21:51:09.364000,EURGBP,0.807569981,0.807910025
2016-04-10T21:51:09.396000,EURGBP,0.807609975,0.807940006
2016-04-10T21:51:12.395000,EURGBP,0.807569981,0.807910025
2016-04-10T21:51:59.832000,EURGBP,0.807590008,0.807919979
2016-04-10T21:52:06.432000,EURGBP,0.807590008,0.807919979
2016-04-10T21:52:16.314000,EURGBP,0.807600021,0.807929993
2016-04-10T21:52:51.009000,EURGBP,0.807590008,0.807919979
2016-04-10T21:53:00.499000,EURGBP,0.807590008,0.807929993
2016-04-10T21:53:10.431000,EURGBP,0.807600021,0.807919979
2016-04-10T21:53:19.200000,EURGBP,0.807619989,0.80795002
2016-04-10T21:53:56.820000,EURGBP,0.807609975,0.807929993
2016-04-10T21:54:00.701000,EURGBP,0.807609975,0.807929993
2016-04-10T21:54:02.961000,EURGBP,0.80765003,0.807969987
2016-04-10T21:54:59.234000,EURGBP,0.807609975,0.807929993
2016-04-10T21:55:00.437000,EURGBP,0.807609975,0.807929993
2016-04-10T21:55:00.437000,EURGBP,0.807609975,0.807929993
2016-04-10T21:55:07.460000,EURGBP,0.807640016,0.807969987
2016-04-10T21:55:55.332000,EURGBP,0.807609975,0.807940006
2016-04-10T21:56:16.869000,EURGBP,0.807609975,0.807940006
2016-04-10T21:56:28.517000,EURGBP,0.807609975,0.807940006
2016-04-10T21:56:39.015000,EURGBP,0.807609975,0.807929993
2016-04-10T21:57:02.893000,EURGBP,0.807609975,0.807969987
2016-04-10T21:57:16.854000,EURGBP,0.807600021,0.807919979
2016-04-10T21:57:49.065000,EURGBP,0.807720006,0.80805999
2016-04-10T21:57:56.786000,EURGBP,0.807640016,0.807980001
2016-04-10T21:58:00.011000,EURGBP,0.807640016,0.807980001
2016-04-10T21:58:09.704000,EURGBP,0.807609975,0.807959974
2016-04-10T21:58:16.205000,EURGBP,0.807709992,0.808049977
2016-04-10T21:58:51.437000,EURGBP,0.807640016,0.808000028
2016-04-10T21:59:04.632000,EURGBP,0.807640016,0.808000028
2016-04-10T21:59:11.709000,EURGBP,0.807640016,0.808000028
2016-04-10T21:59:59.149000,EURGBP,0.807550013,0.807919979
2016-04-10T22:00:00.032000,EURGBP,0.807550013,0.807919979
2016-04-10T22:00:00.032000,EURGBP,0.807550013,0.807919979
2016-04-10T22:00:20.501000,EURGBP,0.807110012,0.807510018
2016-04-10T22:00:59.514000,EURGBP,0.807250023,0.807550013
2016-04-10T22:01:00.923000,EURGBP,0.807250023,0.807569981
2016-04-10T22:01:07.209000,EURGBP,0.807330012,0.807579994
2016-04-10T22:01:12.901000,EURGBP,0.807139993,0.807449996
2016-04-10T22:01:59.709000,EURGBP,0.807250023,0.807539999
2016-04-10T22:02:00.014000,EURGBP,0.807250023,0.807539999
2016-04-10T22:02:06.674000,EURGBP,0.807210028,0.807519972
2016-04-10T22:02:23.116000,EURGBP,0.807399988,0.807699978
2016-04-10T22:02:59.853000,EURGBP,0.807340026,0.807609975
2016-04-10T22:03:00.107000,EURGBP,0.807340026,0.807609975
2016-04-10T22:03:16.622000,EURGBP,0.807399988,0.807669997
2016-04-10T22:03:50.366000,EURGBP,0.807299972,0.807510018
2016-04-10T22:03:59.992000,EURGBP,0.807309985,0.807590008
2016-04-10T22:04:00.013000,EURGBP,0.807309985,0.807590008
2016-04-10T22:04:03.456000,EURGBP,0.807309985,0.807590008
2016-04-10T22:04:52.111000,EURGBP,0.807410002,0.807669997
2016-04-10T22:04:59.900000,EURGBP,0.807399988,0.807659984
2016-04-10T22:05:00.100000,EURGBP,0.807399988,0.807659984
2016-04-10T22:05:08.876000,EURGBP,0.807389975,0.807640016
2016-04-10T22:05:59.799000,EURGBP,0.807489991,0.807709992
2016-04-10T22:06:00.200000,EURGBP,0.807489991,0.807709992
2016-04-10T22:06:02.006000,EURGBP,0.807579994,0.80783999
2016-04-10T22:06:03.799000,EURGBP,0.807399988,0.807640016
2016-04-10T22:06:49.899000,EURGBP,0.80746001,0.807709992
2016-04-10T22:07:02.200000,EURGBP,0.80746001,0.807709992
2016-04-10T22:07:29.299000,EURGBP,0.80746001,0.807709992
2016-04-10T22:07:59.500000,EURGBP,0.807359993,0.807609975
2016-04-10T22:08:00.010000,EURGBP,0.807359993,0.807609975
2016-04-10T22:08:34.710000,EURGBP,0.807359993,0.807609975
2016-04-10T22:08:59.612000,EURGBP,0.807529986,0.807789981
2016-04-10T22:08:59.906000,EURGBP,0.807489991,0.807749987
2016-04-10T22:09:00.000000,EURGBP,0.807489991,0.807749987
2016-04-10T22:09:07.503000,EURGBP,0.807479978,0.807699978
2016-04-10T22:09:07.615000,EURGBP,0.807560027,0.807789981
2016-04-10T22:09:59.834000,EURGBP,0.807479978,0.807709992
2016-04-10T22:10:01.301000,EURGBP,0.807479978,0.807709992
2016-04-10T22:10:02.958000,EURGBP,0.807479978,0.807709992
2016-04-10T22:10:26.305000,EURGBP,0.807129979,0.80734998
2016-04-10T22:10:59.899000,EURGBP,0.80746001,0.807709992
2016-04-10T22:11:00.025000,EURGBP,0.80746001,0.807709992
2016-04-10T22:11:27.493000,EURGBP,0.807380021,0.807609975
2016-04-10T22:11:51.405000,EURGBP,0.807529986,0.807749987
2016-04-10T22:11:59.976000,EURGBP,0.807500005,0.807749987
