time,sym,bid,ask
2016-04-10T21:00:17.007000,EURUSD,1.141330004,1.142030001
2016-04-10T21:00:18.336000,EURUSD,1.141579986,1.142030001
2016-04-10T21:00:45.707000,EURUSD,1.141280055,1.14143002
2016-04-10T21:00:57.207000,EURUSD,1.14131999,1.141549945
2016-04-10T21:01:26.086000,EURUSD,1.14131999,1.141549945
2016-04-10T21:01:34.210000,EURUSD,1.141250014,1.14139998
2016-04-10T21:01:35.838000,EURUSD,1.14131999,1.141659975
2016-04-10T21:01:57.923000,EURUSD,1.14131999,1.141549945
2016-04-10T21:02:16.388000,EURUSD,1.14131999,1.141549945
2016-04-10T21:02:16.452000,EURUSD,1.141139984,1.141469955
2016-04-10T21:02:29.132000,EURUSD,1.14131999,1.141690016
2016-04-10T21:02:55.599000,EURUSD,1.141340017,1.141549945
2016-04-10T21:03:10.212000,EURUSD,1.141340017,1.141549945
2016-04-10T21:03:16.910000,EURUSD,1.141250014,1.141499996
2016-04-10T21:03:44.532000,EURUSD,1.141370058,1.141690016
2016-04-10T21:03:59.789000,EURUSD,1.141270041,1.141530037
2016-04-10T21:04:00.816000,EURUSD,1.141270041,1.141530037
2016-04-10T21:04:00.816000,EURUSD,1.141270041,1.141530037
2016-04-10T21:04:58.292000,EURUSD,1.140900016,1.141489983
2016-04-10T21:04:59.537000,EURUSD,1.141029954,1.141489983
2016-04-10T21:05:00.344000,EURUSD,1.141029954,1.141489983
2016-04-10T21:05:00.510000,EURUSD,1.141029954,1.141489983
2016-04-10T21:05:26.745000,EURUSD,1.139989972,1.140239954
2016-04-10T21:05:58.810000,EURUSD,1.14060998,1.140980005
2016-04-10T21:06:01.745000,EURUSD,1.14060998,1.140980005
2016-04-10T21:06:09.837000,EURUSD,1.140660048,1.141229987
2016-04-10T21:06:42.587000,EURUSD,1.14052999,1.14083004
2016-04-10T21:06:59.624000,EURUSD,1.14060998,1.140930057
2016-04-10T21:07:01.122000,EURUSD,1.14060998,1.140959978
2016-04-10T21:07:07.198000,EURUSD,1.140540004,1.140840054
2016-04-10T21:07:56.232000,EURUSD,1.140689969,1.141059995
2016-04-10T21:08:11.256000,EURUSD,1.140689969,1.141059995
2016-04-10T21:08:20.108000,EURUSD,1.140689969,1.141059995
2016-04-10T21:08:22.906000,EURUSD,1.140689969,1.141090035
2016-04-10T21:09:00.039000,EURUSD,1.140689969,1.141090035
2016-04-10T21:09:16.708000,EURUSD,1.140689969,1.141090035
2016-04-10T21:09:59.395000,EURUSD,1.140890002,1.141350031
2016-04-10T21:10:00.654000,EURUSD,1.140890002,1.141350031
2016-04-10T21:10:57.033000,EURUSD,1.140890002,1.141350031
2016-04-10T21:11:01.151000,EURUSD,1.140890002,1.141350031
2016-04-10T21:11:36.847000,EURUSD,1.140890002,1.141350031
2016-04-10T21:11:49.117000,EURUSD,1.141000032,1.141350031
2016-04-10T21:11:57.923000,EURUSD,1.140900016,1.141350031
2016-04-10T21:12:00.731000,EURUSD,1.140900016,1.141350031
2016-04-10T21:12:00.732000,EURUSD,1.140900016,1.141350031
2016-04-10T21:12:46.187000,EURUSD,1.141100049,1.141459942
2016-04-10T21:12:57.922000,EURUSD,1.141029954,1.141459942
2016-04-10T21:13:02.418000,EURUSD,1.141029954,1.141459942
2016-04-10T21:13:37.034000,EURUSD,1.141080022,1.141309977
2016-04-10T21:13:40.470000,EURUSD,1.141149998,1.14139998
2016-04-10T21:13:57.920000,EURUSD,1.141080022,1.141389966
2016-04-10T21:14:04.118000,EURUSD,1.141080022,1.141389966
2016-04-10T21:14:19.381000,EURUSD,1.141309977,1.14151001
2016-04-10T21:14:57.602000,EURUSD,1.140980005,1.141129971
2016-04-10T21:14:57.923000,EURUSD,1.141000032,1.141119957
2016-04-10T21:15:00.209000,EURUSD,1.141000032,1.141119957
2016-04-10T21:15:16.045000,EURUSD,1.141059995,1.141340017
2016-04-10T21:15:53.547000,EURUSD,1.140930057,1.141070008
2016-04-10T21:15:57.924000,EURUSD,1.140969992,1.141059995
2016-04-10T21:16:07.231000,EURUSD,1.140969992,1.141059995
